net.if.in[WAN Miniport (PPTP)]_avg,"system.cpu.load[percpu,avg1]_avg","icmppingloss[,{$PINGL},,,]_avg",net.if.out[WAN Miniport (PPTP)]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[J:,total]_avg","vfs.fs.size[C:,pfree]_avg",net.if.out[WAN Miniport (Network Monitor)]_avg,"system.swap.size[,free]_avg",net.if.in[WAN Miniport (IP)]_avg,"vfs.fs.size[C:,total]_avg",net.if.out[WAN Miniport (L2TP)]_avg,net.if.out[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[J:,pfree]_avg",net.if.in[WAN Miniport (L2TP)]_avg,net.if.out[WAN Miniport (IP)]_avg,perf_counter[\2\250]_avg,"vfs.fs.size[O:,pfree]_avg",perf_counter[\234(_Total)\1402]_avg,net.if.in[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IKEv2)]_avg,net.if.out[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[O:,total]_avg",perf_counter[\2\18]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-QoS Packet Scheduler-0000]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection]_avg,net.if.out[WAN Miniport (PPPOE)]_avg,net.if.out[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[O:,used]_avg","vfs.fs.size[O:,free]_avg",net.if.in[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"icmppingsec[,{$PINGS},,,]_avg","vfs.fs.size[J:,used]_avg",vm.memory.size[free]_avg,"vfs.fs.size[J:,free]_avg",net.if.out[Microsoft ISATAP Adapter #2]_avg,"system.cpu.load[percpu,avg15]_avg",net.if.in[WAN Miniport (Network Monitor)]_avg,net.if.out[WAN Miniport (IPv6)]_avg,agent.ping_avg,net.if.in[WAN Miniport (IPv6)]_avg,proc.num[]_avg,perf_counter[\234(_Total)\1404]_avg,net.if.out[Microsoft Kernel Debug Network Adapter]_avg,vm.memory.size[total]_avg,perf_counter[\2\16]_avg,"system.cpu.load[percpu,avg5]_avg",net.if.out[WAN Miniport (IKEv2)]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[RAS Async Adapter]_avg,"system.swap.size[,total]_avg",net.if.in[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (PPPOE)]_avg,net.if.in[Microsoft ISATAP Adapter #2]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (SSTP)]_avg,net.if.in[RAS Async Adapter]_avg,"vfs.fs.size[C:,used]_avg",net.if.in[WAN Miniport (SSTP)]_avg,net.if.out[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[C:,free]_avg",net.if.in[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection]_avg,system.uptime_avg,"icmpping[,{$PING},,,]_avg",net.if.in[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[Microsoft Kernel Debug Network Adapter]_avg
0.0,0.0047500143504965245,0.0,0.0,0.005778054180070025,0.0,0.9384421318196168,0.0,0.30672839231597937,0.0,0.0,0.0,0.0,0.9991749297025306,0.0,0.0,0.21723518850987444,0.0,0.0025034213425014188,0.0,0.0,0.0,0.0,0.0006474185569834508,7.2115497894277e-05,0.005784029820327453,0.0,0.0,7.301844328006131e-05,0.0,0.0,0.0,0.026797847809377405,0.0008207846920365025,0.9699654528566395,0.9991787474175879,0.0,0.0038588921637142566,0.0,0.0,0.0,0.0,0.0,0.003032217308907139,0.0,0.0,0.017935538652078017,0.0042400521852576645,0.0,0.005721711433053779,0.005752190456165564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.252495012571641e-05,0.0,0.0,0.061550324270740475,0.0,0.0,0.9392647699494248,0.0,7.299086187030992e-05,0.010683467083175135,1.0,0.0,0.0
0.0,0.5801905745938809,0.0,0.0,0.6472846915007162,0.0,0.9366130558183556,0.0,0.5579527921064411,0.0,0.0,0.0,0.0,0.8999075033298801,0.0,0.0,0.9874326750448834,0.0,0.7990364609410638,0.0,0.0,0.0,0.0,0.49221715962152135,0.015819079544515283,0.6471910274175576,0.0,0.0,0.015876965367072202,0.0,0.0,0.0,0.08972790161414299,0.10046404823503718,0.2552506669595487,0.9000257407427221,0.0,0.5369785178207893,0.0,0.0,0.0,0.0,0.8695652173913042,0.10915982312065697,0.0,0.0,0.7799485572235589,0.5757130996857024,0.0,0.6475753921120575,0.6464546870201168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579632750946839,0.0,0.0,0.06336485940218495,0.0,0.0,0.9366616120527596,0.0,0.016099749746414427,0.01175214023983262,1.0,0.0,0.0
0.0,0.1653033694965846,0.0,0.0,0.1377379762096286,0.0,0.933837906023335,0.0,0.6285046399265513,0.0,0.0,0.0,0.0,0.09704380642296861,0.0,0.0,0.24955116696588875,0.0,0.1838290107591486,0.0,0.0,0.0,0.0,0.4232210168372954,0.0013800267395936063,0.13803774534267035,0.0,0.0,0.0013884129039983435,0.0,0.0,0.0,0.026963873943120678,0.9031927726860556,0.6456692750561053,0.09711299693433362,0.0,0.2521193521922761,0.0,0.0,0.0,0.0,0.21739130434782616,0.10056854074542008,0.0,0.0,0.26798782917413166,0.19339678586253925,0.0,0.1382061516754466,0.1400102816350774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013802305456892614,0.0,0.0,0.06605688475141847,0.0,0.0,0.9338689103749722,0.0,0.001400596718589589,0.01282051662527195,1.0,0.0,0.0
0.0,0.06721772573331036,0.0,0.0,0.013701728777180667,0.0,0.9382529170608613,0.0,0.32016122852329154,0.0,0.0,0.0,0.0,0.03120837649844599,0.0,0.0,0.1956912028725315,0.0,0.2561945770330563,0.0,0.0,0.0,0.0,0.000732770411442499,0.00026461915405575015,0.013696567426974397,0.0,0.0,0.0002662902929207419,0.0,0.0,0.0,0.041789392774788624,0.9687887270411444,0.9660694898908013,0.031211258341550474,0.0,0.07032603081036735,0.0,0.0,0.0,0.0,0.1304347826086958,0.005938092229943147,0.0,0.0,0.28582900611667544,0.06871553104429814,0.0,0.013696691142613833,0.013785099052934464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002655316652933994,0.0,0.0,0.06182372263261726,0.0,0.0,0.9382762890830705,0.0,0.0002683954483687265,0.013877022161984276,1.0,0.0,0.0
0.0,0.004635210378279086,0.0,0.0,0.004037980819239987,0.0,0.9335856196783325,0.0,0.33492085097433755,0.0,0.0,0.0,0.0,0.03120837649844599,0.0,0.0,0.13105924596050267,0.0,0.014998275420852945,0.0,0.0,0.0,0.0,0.0023514628334509037,0.00015651033243350315,0.004053010776716207,0.0,0.0,0.00015725505165896836,0.0,0.0,0.0,0.025432744043043812,0.968788473913188,0.9948929291236102,0.031211511859938312,0.0,0.005651605846069701,0.0,0.0,0.0,0.0,0.0,0.007454200884396715,0.0,0.0,0.005764509094406676,0.0052630018383443035,0.0,0.00398039619795586,0.004059690100451329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015646451863173308,0.0,0.0,0.06641281397352827,0.0,0.0,0.9336092385290051,0.0,0.00015861366183149927,0.014957269396150719,1.0,0.0,0.0
0.0,0.007203949256644276,0.0,0.0,0.0021010767747056927,0.0,0.9316304005045701,0.0,0.31918410394064267,0.0,0.0,0.0,0.0,0.03120837649844599,0.0,0.0,0.18491921005385992,0.0,3.3378951233352243e-05,0.0,0.0,0.0,0.0,0.0004430470961156875,0.00019779423313387987,0.0021076562914318295,0.0,0.0,0.0001987783439279542,0.0,0.0,0.0,0.13116064565718677,0.9687906673480391,0.9681152829378301,0.031209318035564704,0.0,0.00773297681626204,0.0,0.0,0.0,0.0,0.043478260869564966,0.005811749842072014,0.0,0.0,0.0001316788088303208,0.007679535076795349,0.0,0.002104818890207933,0.002110417178866688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019808134724645025,0.0,0.0,0.06824144556734524,0.0,0.0,0.9316666361926629,0.0,0.00020019616538510462,0.01602534901037178,1.0,0.0,0.0
0.0,0.00994489409333563,0.0,0.0,0.00579793585895056,0.0,0.932576474298326,0.0,0.2957243433985344,0.0,0.0,0.0,0.0,0.03120467663164117,0.0,0.0,0.16876122082585288,0.0,0.021974476228623564,0.0,0.0,0.0,0.0,0.0015535984306423636,0.00025926360122127613,0.005792330134640658,0.0,0.0,0.0002610333376495081,0.0,0.0,0.0,0.02460261337432744,0.9687933761075993,0.9648422072831617,0.031206609409370256,0.0,0.00957126796511805,0.0,0.0,0.0,0.0,0.043478260869564966,0.015919140871762476,0.0,0.0,0.012027718327865883,0.009873687955879732,0.0,0.005730149181861481,0.005839068905193435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026101096983260517,0.0,0.0,0.06743876652534198,0.0,0.0,0.9326120859563112,0.0,0.00026500816294451634,0.01709372539581111,1.0,0.0,0.0
0.0,0.008222834510074044,0.0,0.0,0.0022128040431729436,0.0,0.9315042573320689,0.0,0.33263968832966384,0.0,0.0,0.0,0.0,0.031197276898031645,0.0,0.0,0.2459605026929983,0.0,5.563158538892041e-05,0.0,0.0,0.0,0.0,0.0009565694386952369,0.00016548030525620353,0.0022085434874593354,0.0,0.0,0.00016634270809198293,0.0,0.0,0.0,0.18713604919292853,0.9688027592272073,0.9633895357257249,0.031197226162058445,0.0,0.009358573121448756,0.0,0.0,0.0,0.0,0.08695652173913038,0.027795325331648767,0.0,0.0,0.0035931530018929493,0.01002194152879084,0.0,0.002215030844426033,0.0022652036988299053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001658671246839282,0.0,0.0,0.0685312132295266,0.0,0.0,0.9313974829172871,0.0,0.00018382391344189813,0.018150527703741592,1.0,0.0,0.0
0.0,0.0016646575971528584,0.0,0.0,2.8237759813859014e-06,0.0,0.9346578366445932,0.0,0.3525548923587891,0.0,0.0,0.0,0.0,0.031200976764836463,0.0,0.0,0.2208258527827649,0.0,0.00010013685370005674,0.0,0.0,0.0,0.0,0.001104982825722199,2.413798211515594e-05,2.6206796853345705e-06,0.0,0.0,2.425851954592764e-05,0.0,0.0,0.0,0.021085318985395854,0.9687983913508604,0.9858137803707141,0.031201594036359914,0.0,0.002370028258029226,0.0,0.0,0.0,0.0,0.0,0.016424510423247,0.0,0.0,0.00040680755024741206,0.0015418371582755115,0.0,2.4621127640998337e-06,2.3126392987689667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.452188205249832e-05,0.0,0.0,0.0653041461976045,0.0,0.0,0.9346498882745138,0.0,2.4474030932775462e-05,0.01923047816668988,1.0,0.0,0.0
0.0,0.006199414499741689,0.0,0.0,0.005657564551323867,0.0,0.941091138442129,0.0,0.3479484902856491,0.0,0.0,0.0,0.0,0.031197276898031645,0.0,0.0,0.20107719928186718,0.0,0.03401315130678594,0.0,0.0,0.0,0.0,0.0013182207954242939,0.0002837539947917133,0.005707000140168682,0.0,0.0,0.00028665933100333247,0.0,0.0,0.0,0.017838585703305147,0.9688005671401358,0.9316838116070842,0.03119941824810346,0.0,0.006137765488742366,0.0,0.0,0.0,0.0,0.0,0.012760581174984206,0.0,0.0,0.01360921808478697,0.00646385577892427,0.0,0.005726824499805094,0.005705585161093188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002838864597501736,0.0,0.0,0.05882663258123699,0.0,0.0,0.9410936467545454,0.0,0.0002871718685945519,0.020299151323347364,1.0,0.0,0.0
