net.if.in[vmxnet3 Ethernet Adapter-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (L2TP)]_avg,"icmppingloss[,{$PINGL},,,]_avg",vm.memory.size[free]_avg,net.if.out[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (Network Monitor)]_avg,perf_counter[\2\18]_avg,net.if.out[WAN Miniport (PPTP)]_avg,net.if.out[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IKEv2)]_avg,net.if.out[vmxnet3 Ethernet Adapter-QoS Packet Scheduler-0000]_avg,perf_counter[\234(_Total)\1402]_avg,"system.cpu.load[percpu,avg15]_avg",proc.num[]_avg,"icmpping[,{$PING},,,]_avg",net.if.in[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,"system.swap.size[,total]_avg",net.if.out[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"system.cpu.load[percpu,avg1]_avg",net.if.in[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,perf_counter[\2\250]_avg,"vfs.fs.size[E:,used]_avg",vm.memory.size[total]_avg,"vfs.fs.size[E:,free]_avg",net.if.in[WAN Miniport (IP)]_avg,net.if.in[WAN Miniport (SSTP)]_avg,perf_counter[\234(_Total)\1404]_avg,net.if.in[vmxnet3 Ethernet Adapter]_avg,net.if.out[vmxnet3 Ethernet Adapter]_avg,net.if.in[vmxnet3 Ethernet Adapter-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (IPv6)]_avg,system.uptime_avg,net.if.in[Microsoft ISATAP Adapter]_avg,net.if.out[Microsoft ISATAP Adapter]_avg,net.if.out[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (IP)]_avg,net.if.out[WAN Miniport (IKEv2)]_avg,net.if.out[WAN Miniport (Network Monitor)]_avg,"system.swap.size[,free]_avg",net.if.out[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[vmxnet3 Ethernet Adapter-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[C:,free]_avg",net.if.in[Microsoft Kernel Debug Network Adapter]_avg,net.if.out[RAS Async Adapter]_avg,"vfs.fs.size[C:,used]_avg","vfs.fs.size[E:,pfree]_avg",net.if.out[WAN Miniport (PPPOE)]_avg,net.if.in[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[E:,total]_avg",net.if.out[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (L2TP)]_avg,"icmppingsec[,{$PINGS},,,]_avg",net.if.in[RAS Async Adapter]_avg,net.if.in[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[vmxnet3 Ethernet Adapter-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[Microsoft Kernel Debug Network Adapter]_avg,net.if.in[WAN Miniport (PPTP)]_avg,perf_counter[\2\16]_avg,"vfs.fs.size[C:,pfree]_avg",net.if.in[WAN Miniport (IPv6)]_avg,net.if.in[WAN Miniport (PPPOE)]_avg,"vfs.fs.size[C:,total]_avg","system.cpu.load[percpu,avg5]_avg",net.if.out[vmxnet3 Ethernet Adapter-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (SSTP)]_avg
0.0005294854106787366,0.0,0.0,0.6463664479691655,0.0,0.0,0.011492709899696352,0.0,0.0,0.0,0.013073314646631626,0.0,0.03029350340212436,0.43859649122806976,1.0,0.0,0.0,0.0,0.030274340073487973,0.0,0.2057728119180633,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.017252947378510495,0.0005293330876303584,0.013080658401160895,0.00043184960051968025,0.0,0.9065441744466493,0.0,0.0,0.0,0.0,0.0,0.0,0.5362954354761008,0.0,0.013055937447791384,0.7402146821814561,0.0,0.0,0.25961359878317847,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.01809519226141778,0.0,0.0,0.0005917860315592161,0.0,0.0,0.0007302661343898127,0.740372399555346,0.0,0.0,0.0,0.03260941316258499,0.00996322368615726,0.0,0.0,0.0
0.01346771661795973,0.0,0.0,0.4092197132309072,0.0,0.0,0.016052491200849204,0.0,0.0,0.0,0.559846844179923,0.1203714274841116,0.5323033392468168,0.8947368421052628,1.0,0.0,0.0,0.0,0.5370483081986429,0.0,0.6955307262569832,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.0344100450493626,0.01345868109265985,0.5603867355238455,0.015488860780951408,0.0,0.9077082213072958,0.0,0.0,0.0,0.0,0.0,0.0,0.47455111064555777,0.0,0.5597530022375595,0.7383588643611461,0.0,0.0,0.26134223497534315,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.07234066445289317,0.0,0.0,0.013461876276258304,0.0,0.0,0.7081451821536839,0.7386453866920757,0.0,0.0,0.0,0.47886549167161746,0.5149543013408375,0.0,0.0,0.0
0.0033671340540564697,0.0,0.0,0.5914384039680589,0.0,0.0,0.004986783184895376,0.0,0.0,0.0,0.12591395767032057,0.03338606820739484,0.18084031348947927,0.5789473684210527,1.0,0.0,0.0,0.0,0.16812064651382969,0.0,0.34636871508379885,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.008626473689255247,0.00302351425817348,0.1259690325902567,0.0029576793223248087,0.0,0.9088722681679422,0.0,0.0,0.0,0.0,0.0,0.0,0.5234600259589824,0.0,0.1259320073704441,0.7369515255778634,0.0,0.0,0.26279989594560327,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.026308612862345003,0.0,0.0,0.0033739281830009824,0.0,0.0,0.1437974606637735,0.7371764332221691,0.0,0.0,0.0,0.1568640394305455,0.08644556623758087,0.0,0.0,0.0
0.0004211114589538785,0.0,0.0,0.642036565196642,0.0,0.0,0.004891144378287194,0.0,0.0,0.0,0.0002205075472178568,0.0,0.02544294985515709,0.4561403508771926,1.0,0.0,0.0,0.0,0.029530443407497577,0.0,0.23277467411545616,0.9808500337886521,0.0,0.019149965301835437,0.0,0.0,0.01351480877983322,0.00042166510735750184,0.00022047065867468924,0.00037938290465832264,0.0,0.9100363150285886,0.0,0.0,0.0,0.0,0.0,0.0,0.5319058751764869,0.0,0.00022206000223052167,0.7360492589377401,0.0,0.0,0.26371965225902727,0.019140624999991473,0.0,0.0,0.0,0.0,0.0,0.01563277026485073,0.0,0.0,0.00042671807150191884,0.0,0.0,0.0005091585014271818,0.7362632999841203,0.0,0.0,0.0,0.023125838889255616,0.00019645077942924053,0.0,0.0,0.0
0.00017505123120222936,0.0,0.0,0.6413441075101873,0.0,0.0,0.0021112508871866296,0.0,0.0,0.0,9.219705342810731e-05,6.523901945753755e-05,0.0240955738698884,0.43859649122806976,1.0,0.0,0.0,0.0,0.027546718964856515,0.0,0.2113594040968343,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.030096808204734975,0.0001767139965757868,9.275875333064463e-05,0.00014605843485262414,0.0,0.9112003618892351,0.0,0.0,0.0,0.0,0.0,0.0,0.5664709075398039,0.0,9.4205882831058e-05,0.7354631679339523,0.0,0.0,0.2644160120905523,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.0207019907919855,0.0,0.0,0.0001985368990707828,0.0,0.0,0.00023846510396586718,0.7355685246942993,0.0,0.0,0.0,0.025194182234250885,7.121936786024861e-05,0.0,0.0,0.0
0.0022608384446010646,0.0,0.0,0.6258820389575968,0.0,0.0,0.0010399906204485293,0.0,0.0,0.0,0.052029670581248924,0.0,0.0463497338932429,0.49122807017543835,1.0,0.0,0.0,0.0,0.03841211875295868,0.0,0.26163873370577284,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.011310265503690213,0.002276396725573022,0.05202582335695726,0.002572101370487521,0.0,0.9123644087498816,0.0,0.0,0.0,0.0,0.0,0.0,0.5492899736803736,0.0,0.05207260704104349,0.7348597293871908,0.0,0.0,0.26484666450148797,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.17585863933137622,0.0,0.0,0.002265223638587758,0.0,0.0,0.00016576036694873023,0.7351318087978402,0.0,0.0,0.0,0.035403877043589244,0.03566455578806112,0.0,0.0,0.0
0.0004364345185533472,0.0,0.0,0.6336967127435356,0.0,0.0,0.003838451518338177,0.0,0.0,0.0,0.002223463577198486,0.0,0.026520850643372035,0.4561403508771926,1.0,0.0,0.0,0.0,0.022114019070805433,0.0,0.22998137802607066,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.00939327135052238,0.0004348999901292166,0.0022272106415324173,0.00041440850318918895,0.0,0.913528455610528,0.0,0.0,0.0,0.0,0.0,0.0,0.5667759051980805,0.0,0.0022262952103643007,0.7331750180267917,0.0,0.0,0.2665680943555273,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.01831175706241879,0.0,0.0,0.00046383414689962093,0.0,0.0,0.001014072769760075,0.7334246466571379,0.0,0.0,0.0,0.02858274473562611,0.0015728074277555108,0.0,0.0,0.0
0.0006877364355964966,0.0,0.0,0.6293053496208751,0.0,0.0,0.0194076388558084,0.0,0.0,0.0,0.0018200895107127947,0.0,0.02966472794233231,0.4736842105263155,1.0,0.0,0.0,0.0,0.02702824553098442,0.0,0.25418994413407825,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.025400172529473783,0.0006889668053117603,0.0018206012012425888,0.0006876056223278143,0.0,0.9146925024711745,0.0,0.0,0.0,0.0,0.0,0.0,0.5724047198005121,0.0,0.0018207508074814316,0.7313104444606786,0.0,0.0,0.26846239196790833,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.13434236488762694,0.0,0.0,0.0006910778402089386,0.0,0.0,0.0017124447341848499,0.731518977290774,0.0,0.0,0.0,0.026976478095363833,0.0014773981950125842,0.0,0.0,0.0
2.9770426754876047e-05,0.0,0.0,0.6421550954393713,0.0,0.0,0.010386207447006988,0.0,0.0,0.0,1.5640506451095531e-06,0.0,0.018638701129550204,0.43859649122806976,1.0,0.0,0.0,0.0,0.028132819368364103,0.0,0.2122905027932962,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.01581520176363462,4.8163897552636536e-05,1.720519727167909e-06,3.195675571536044e-05,0.0,0.9159212186018568,0.0,0.0,0.0,0.0,0.0,0.0,0.5789634044943848,0.0,3.4187428508623255e-06,0.7296807199541444,0.0,0.0,0.2700521511422851,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.017084556523413064,0.0,0.0,3.528160628557265e-05,0.0,0.0,0.002762414499008718,0.7298912180403381,0.0,0.0,0.0,0.01901115585187141,3.7619526225716126e-06,0.0,0.0,0.0
0.00036411665785266123,0.0,0.0,0.6412529239540683,0.0,0.0,0.009727495155332833,0.0,0.0,0.0,0.0011505063886364025,0.0,0.028294895690642474,0.43859649122806976,1.0,0.0,0.0,0.0,0.024796555533013232,0.0,0.21508379888268148,0.9816265632508916,0.0,0.018373436749101302,0.0,0.0,0.007092878366720981,0.0002967675124185061,0.0010486722197712301,0.0002651760626831444,0.0,0.9171337674150302,0.0,0.0,0.0,0.0,0.0,0.0,0.5742143749919075,0.0,0.001151047822742924,0.7285293153579318,0.0,0.0,0.27128691834458607,0.018359375000002842,0.0,0.0,0.0,0.0,0.0,0.019627187705536044,0.0,0.0,0.0003017530389281167,0.0,0.0,0.0008351374737299464,0.7286207717960949,0.0,0.0,0.0,0.02116751380729201,0.0010377312341394262,0.0,0.0,0.0
