net.if.out[vethc8701ff]_avg,"vfs.fs.size[boot,pfree]_avg",vm.memory.size[available]_avg,system.uptime_avg,net.if.out[vethc44eac7]_avg,"vfs.fs.size[,used]_avg",net.if.out[vetha0f3ea1]_avg,"vfs.fs.size[boot,total]_avg",net.if.out[br-29cb8b697ec7]_avg,"vfs.fs.size[,free]_avg","vfs.fs.inode[boot,pfree]_avg",vm.memory.size[total]_avg,net.if.in[vethc8701ff]_avg,"vfs.fs.size[varlibdockeroverlay,free]_avg","vfs.fs.size[varlibdockeroverlay,used]_avg","vfs.fs.size[varlibdockeroverlay,pfree]_avg","system.cpu.util[,idle]_avg",net.if.in[vetha0f3ea1]_avg,net.if.in[vethc44eac7]_avg,"system.cpu.util[,softirq]_avg",system.users.num_avg,agent.ping_avg,"vfs.fs.size[boot,used]_avg","vfs.fs.size[boot,free]_avg","system.cpu.util[,iowait]_avg",proc.num[]_avg,"vfs.fs.size[varlibdockeroverlay,total]_avg",net.if.in[veth66efed2]_avg,net.if.in[ens160]_avg,"icmpping[,{$PING},,,]_avg",net.if.out[vethcb7cc86]_avg,system.boottime_avg,net.if.out[vethdd07b19]_avg,"icmppingloss[,{$PINGL},,,]_avg",net.if.in[vethf19071c]_avg,net.if.in[docker0]_avg,net.if.out[veth66efed2]_avg,"system.cpu.util[,steal]_avg",net.if.in[vethcb7cc86]_avg,net.if.in[vethdd07b19]_avg,"icmppingsec[,{$PINGS},,,]_avg",net.if.out[vethf19071c]_avg,"system.cpu.load[percpu,avg1]_avg","system.cpu.util[,system]_avg",net.if.in[veth9312447]_avg,net.if.in[veth2ba502b]_avg,"vfs.fs.inode[varlibdockeroverlay,pfree]_avg",kernel.maxproc_avg,"system.cpu.util[,nice]_avg",vfs.file.cksum[etcpasswd]_avg,system.cpu.intr_avg,net.if.out[veth9312447]_avg,net.if.out[veth2ba502b]_avg,"proc.num[,,run]_avg","system.swap.size[,pfree]_avg","system.swap.size[,free]_avg","system.cpu.util[,user]_avg","system.swap.size[,total]_avg","system.cpu.load[percpu,avg5]_avg",net.if.in[br-29cb8b697ec7]_avg,"vfs.fs.size[,total]_avg","system.cpu.load[percpu,avg15]_avg",net.if.out[docker0]_avg,"vfs.fs.size[,pfree]_avg","system.cpu.util[,interrupt]_avg",system.cpu.switches_avg,"vfs.fs.inode[,pfree]_avg",net.if.out[ens160]_avg,system.localtime_avg,kernel.maxfiles_avg
0.0,0.0,0.009056393812256314,0.9752540583344331,0.0007983557269283688,0.9894492917095885,0.0152715969468943,0.0,0.0,0.01053536518487519,0.0,1.0,0.0,0.010532225485320623,0.9894507114593196,0.010536361901127833,0.9819266127754003,0.014365316149560041,0.0009663313247523981,0.02656434474616294,0.0,0.0,1.0,0.0,0.004871794871794871,0.7142857142857153,0.0,0.0008158817204614397,0.007227634499475284,0.0,0.0020270113744295416,0.0,0.0,0.0,0.014360111009553311,0.0,0.00285642599347654,0.0,0.0006658883404874094,0.0,0.3776245691005954,0.014352241757825809,0.018418282964967673,0.08030633409562304,0.041666666666666664,0.0006818542516943489,0.9310344827536028,0.0,0.0,0.0,0.07780979827089335,0.03981481481481482,0.0006350585757975832,0.0,0.005168087062386917,0.005156204910541362,0.005979691451367612,0.0,0.013449187759727992,0.0,0.0,0.0001767252805513833,0.0,0.010536361901127833,0.0,0.1123595505617977,0.9310344827536028,0.0035093651239457586,0.2767251305792797,0.0
0.0,0.0,0.008744795175674724,0.9759610852391636,0.0008832871872398972,0.9894237106459709,0.0152715969468943,0.0,0.0,0.01058469626399372,0.0,1.0,0.0,0.010571122894525331,0.9894948705349265,0.010574537125407346,0.9820970042796007,0.014365316149560041,0.0010086286554654655,0.023612750885478165,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0008945560292202212,0.007629298736034622,0.0,0.0020270113744295416,0.0,0.0,0.0,0.014360111009553311,0.0,0.002991527222897729,0.0,0.0006641406020609334,0.0,0.32160764650579754,0.014352241757825809,0.01616298301007367,0.08325799074615756,0.041666666666666664,0.0006838136029923211,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.03981481481481482,0.0006350585757975832,0.0,0.005168087062386917,0.005156204910541362,0.006078778557550221,0.0,0.010426898375519458,0.0,0.0,0.0006185384819298381,0.0,0.010574537125407346,0.0,0.1039325842696629,0.9310344827536028,0.003866573229024931,0.27777777777777146,0.0
0.0,0.0,0.008296685818846461,0.976668112143894,0.0008747940412087447,0.9902694924528017,0.0152715969468943,0.0,0.0,0.009875019054319978,0.0,1.0,0.0,0.009855315668602316,0.9902707262494843,0.009772857415541125,0.9813877001109526,0.014365316149560041,0.001028150500409959,0.029122392758756388,0.0,0.0,1.0,0.0,0.005128205128205127,0.7142857142857153,0.0,0.000929522388668569,0.007573576529806739,0.0,0.0020270113744295416,0.0,0.0,0.0,0.014360111009553311,0.0,0.003039777661976724,0.0,0.0006676360789138855,0.0,0.31792541523033524,0.014352241757825809,0.02480829950383401,0.08445460830718501,0.041666666666666664,0.0006818542516943489,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.03981481481481482,0.0006367297825759979,0.0,0.005168087062386917,0.005156204910541362,0.006630219844131667,0.0,0.017378163959199097,0.0,0.0,0.002209066006892281,0.0,0.009772857415541125,0.0,0.10112359550561789,0.9310344827536028,0.003746594934189178,0.278846153846132,0.0
0.0,0.0,0.007959516974962666,0.9773751390486246,0.0008861182359169483,0.9905710199237259,0.0152715969468943,0.0,0.0,0.00943322436795313,0.0,1.0,0.0,0.009424774437842842,0.9906389846342556,0.009429280397025508,0.9802028847677922,0.014365316149560041,0.0010118822962895476,0.030303030303030304,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0009120392089443947,0.00771520380396928,0.0,0.0008687191604698037,0.0,0.0,0.0,0.014360111009553311,0.0,0.0029625769594503314,0.0,0.00033381803945694297,0.0,0.3342995926041993,0.014352241757825809,0.017290632987520673,0.08910812104451418,0.041666666666666664,0.00028998399209989546,0.9310344827536028,0.0,0.0,0.0,0.07780979827089335,0.03981481481481482,0.00031084446078513293,0.0,0.005168087062386917,0.005156204910541362,0.00718166113071312,0.0,0.01397808840196449,0.0,0.0,0.0013254396041353644,0.0,0.009429280397025508,0.0,0.1095505617977528,0.9310344827536028,0.003907474920446212,0.27991452991454935,0.0
0.0,0.0,0.00754871308368088,0.9780821659533551,0.0008889492845939994,0.9920062332592909,0.0152715969468943,0.0,0.0,0.007971609148402337,0.0,1.0,0.0,0.00798148119212172,0.9920821239962692,0.007978621874407565,0.9805832937074022,0.014365316149560041,0.0010411650637062874,0.025383707201889025,0.0,0.0,1.0,0.0,0.005128205128205127,0.7142857142857153,0.0,0.0009062114823696708,0.007436592772829851,0.0,0.0002606157481409412,0.0,0.0,0.0,0.014360111009553311,0.0,0.0030494277497925236,0.0,0.00016778288894170974,0.0,0.32035412096521465,0.014352241757825809,0.024282062847692076,0.08828378450247304,0.041666666666666664,8.621145711077967e-05,0.9310344827536028,0.0,0.0,0.0,0.0749279538904899,0.03981481481481482,0.00015876464394939558,0.0,0.005168087062386917,0.005156204910541362,0.006966254378142245,0.0,0.0168492633169626,0.0,0.0,0.0007069011222055263,0.0,0.007978621874407565,0.0,0.1039325842696629,0.9310344827536028,0.0038283983170317396,0.28098290598290987,0.0
0.0,0.0,0.007162316557235204,0.9787891928580855,0.0008832871872398972,0.9919550752048263,0.0152715969468943,0.0,0.0,0.008183330605412209,0.0,1.0,0.0,0.008102567985940112,0.9919529762639634,0.008093147547242552,0.9812212711998729,0.014365316149560041,0.0010183895779377118,0.027548209366391185,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0009266085253812062,0.007499280254836222,0.0,0.00027219867028053894,0.0,0.0,0.0,0.014360111009553311,0.0,0.002991527222897729,0.0,0.00016953062736818581,0.0,0.3170636164211845,0.014352241757825809,0.05277401894451962,0.0848800723288837,0.041666666666666664,8.81708084087521e-05,0.9310344827536028,0.0,0.0,0.0,0.06628242074927954,0.03981481481481482,0.00015876464394939558,0.0,0.005168087062386917,0.005156204910541362,0.0062554120946583455,0.0,0.047072157159047986,0.0,0.0,0.006008659538747019,0.0,0.008093147547242552,0.0,0.0926966292134831,0.9310344827536028,0.0036866057867713017,0.2820512820512704,0.0
0.0,0.0,0.006753897931153219,0.979496219762816,0.0008974424306251519,0.9928599386386825,0.0152715969468943,0.0,0.0,0.007139735444823714,0.0,1.0,0.0,0.007135969098158057,0.9928575622512703,0.007138766940258279,0.9805555555555561,0.014365316149560041,0.001031404141234041,0.026957890594254227,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0009149530722317575,0.008284034659212274,0.0,0.0002779901313503374,0.0,0.0,0.0,0.014360111009553311,0.0,0.003030127574160924,0.0,0.00016953062736818581,0.0,0.36281729865246004,0.014352241757825809,0.012178619756427604,0.08862947402010318,0.041666666666666664,9.01301597067243e-05,0.9310344827536028,0.0,0.0,0.0,0.0806916426512968,0.03981481481481482,0.00015709343717098092,0.0,0.005168087062386917,0.005156204910541362,0.006957638108039406,0.0,0.010804684548545522,0.0,0.0,0.0004418132013784548,0.0,0.007138766940258279,0.0,0.1123595505617977,0.9310344827536028,0.004041087112422391,0.2831196581196309,0.0
0.0,0.0,0.006264273454691716,0.9802032466675464,0.0008832871872398972,0.9930925141263192,0.0152715969468943,0.0,0.0,0.006590760461769207,0.0,1.0,0.0,0.006720859759283826,0.9930893052516474,0.0069097155945812005,0.9807100966872722,0.014365316149560041,0.0010183895779377118,0.03187721369539551,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0009062114823696708,0.007589828839956538,0.0,0.00027219867028053894,0.0,0.0,0.0,0.014360111009553311,0.0,0.003030127574160924,0.0,0.00016778288894170974,0.0,0.33288937637104354,0.014352241757825809,0.02277852954442941,0.08602350688719887,0.041666666666666664,9.01301597067243e-05,0.9310344827536028,0.0,0.0,0.0,0.07780979827089335,0.03981481481481482,0.00016210705750622492,0.0,0.005168087062386917,0.005156204910541362,0.006755155760622779,0.0,0.01790706460143559,0.0,0.0,0.0019439780860652095,0.0,0.0067951899217426615,0.0,0.1123595505617977,0.9310344827536028,0.0038338518758879083,0.2841880341880483,0.0
0.0,0.0,0.005979699605740962,0.980910273572277,0.0008832871872398972,0.9935247184348004,0.0152715969468943,0.0,0.0,0.006551558290286863,0.0,1.0,0.0,0.006546113642265539,0.993522622162935,0.00652796335178607,0.9814392138215244,0.014365316149560041,0.0010216432187617939,0.027548209366391185,0.0,0.0,1.0,0.0,0.004358974358974359,0.7142857142857153,0.0,0.0009120392089443947,0.00792184031873102,0.0,0.0016274005606134317,0.0,0.9333333333333333,0.0,0.014360111009553311,0.0,0.003030127574160924,0.0,0.0005103396205310331,1.0,0.4920087746787841,0.014352241757825809,0.011126146444143737,0.08437483380311653,0.041666666666666664,0.000585846038093708,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.03981481481481482,0.0005080468606380663,0.0,0.005168087062386917,0.005156204910541362,0.006617295438977419,0.0,0.009217982621836042,0.0,0.0,0.00026508792082706456,0.0,0.006566138576065583,0.0,0.10112359550561789,0.9310344827536028,0.003787496625610459,0.2852564102564088,0.0
0.0,0.0,0.0055837640729876625,0.9816173004770075,0.0008946113819481008,0.9937364413439109,0.0152715969468943,0.0,0.0,0.006218752197753474,0.0,1.0,0.0,0.006318956519500318,0.9937343454320597,0.006337087230388505,0.980761610397844,0.014365316149560041,0.0010151359371136297,0.026367571822117283,0.0,0.0,1.0,0.0,0.008717948717948718,0.7142857142857153,0.0,0.0009178669355191195,0.008221347177205903,0.0,0.0002606157481409412,0.0,0.0,0.0,0.014360111009553311,0.0,0.0030108273985293265,0.0,0.00016428741208875716,0.0,0.5525697273581949,0.014352241757825809,0.008419786498270937,0.08525235334787001,0.041666666666666664,8.81708084087521e-05,0.9310344827536028,0.0,0.0,0.0,0.07780979827089335,0.03981481481481482,0.00016043585072781025,0.0,0.005168087062386917,0.005156204910541362,0.006992103188450748,0.0,0.005289006422364942,0.0,0.0,0.00026508792082706456,0.0,0.006337087230388505,0.0,0.1123595505617977,0.9310344827536028,0.003940196273583234,0.2863247863247693,0.0
